timestamp,frame,rr_interval,time
2000-01-01_00:00:56.992187+0000,14577,839.84375,2000-01-01_00:00:56.992187+0000
2000-01-01_00:00:57.808593+0000,14786,816.40625,2000-01-01_00:00:57.808593+0000
2000-01-01_00:00:58.632812+0000,14997,824.21875,2000-01-01_00:00:58.632812+0000
2000-01-01_00:00:59.496093+0000,15218,863.28125,2000-01-01_00:00:59.496093+0000
2000-01-01_00:01:00.300781+0000,15424,804.6875,2000-01-01_00:01:00.300781+0000
2000-01-01_00:01:01.128906+0000,15636,828.125,2000-01-01_00:01:01.128906+0000
2000-01-01_00:01:01.996093+0000,15858,867.1875,2000-01-01_00:01:01.996093+0000
2000-01-01_00:01:02.808593+0000,16066,812.5,2000-01-01_00:01:02.808593+0000
2000-01-01_00:01:03.632812+0000,16277,824.21875,2000-01-01_00:01:03.632812+0000
2000-01-01_00:01:04.472656+0000,16492,839.84375,2000-01-01_00:01:04.472656+0000
2000-01-01_00:01:05.304687+0000,16705,832.03125,2000-01-01_00:01:05.304687+0000
2000-01-01_00:01:06.128906+0000,16916,824.21875,2000-01-01_00:01:06.128906+0000
2000-01-01_00:01:06.968750+0000,17131,839.84375,2000-01-01_00:01:06.968750+0000
2000-01-01_00:01:07.816406+0000,17348,847.65625,2000-01-01_00:01:07.816406+0000
2000-01-01_00:01:08.636718+0000,17558,820.3125,2000-01-01_00:01:08.636718+0000
2000-01-01_00:01:09.460937+0000,17769,824.21875,2000-01-01_00:01:09.460937+0000
2000-01-01_00:01:10.304687+0000,17985,843.75,2000-01-01_00:01:10.304687+0000
2000-01-01_00:01:11.156250+0000,18203,851.5625,2000-01-01_00:01:11.156250+0000
2000-01-01_00:01:11.964843+0000,18410,808.59375,2000-01-01_00:01:11.964843+0000
2000-01-01_00:01:12.800781+0000,18624,835.9375,2000-01-01_00:01:12.800781+0000
2000-01-01_00:01:13.628906+0000,18836,828.125,2000-01-01_00:01:13.628906+0000
2000-01-01_00:01:14.449218+0000,19046,820.3125,2000-01-01_00:01:14.449218+0000
2000-01-01_00:01:15.296875+0000,19263,847.65625,2000-01-01_00:01:15.296875+0000
2000-01-01_00:01:16.125000+0000,19475,828.125,2000-01-01_00:01:16.125000+0000
2000-01-01_00:01:16.945312+0000,19685,820.3125,2000-01-01_00:01:16.945312+0000
2000-01-01_00:01:17.785156+0000,19900,839.84375,2000-01-01_00:01:17.785156+0000
2000-01-01_00:01:18.625000+0000,20115,839.84375,2000-01-01_00:01:18.625000+0000
2000-01-01_00:01:19.445312+0000,20325,820.3125,2000-01-01_00:01:19.445312+0000
2000-01-01_00:01:20.285156+0000,20540,839.84375,2000-01-01_00:01:20.285156+0000
2000-01-01_00:01:21.121093+0000,20754,835.9375,2000-01-01_00:01:21.121093+0000
2000-01-01_00:01:21.949218+0000,20966,828.125,2000-01-01_00:01:21.949218+0000
2000-01-01_00:01:22.773437+0000,21177,824.21875,2000-01-01_00:01:22.773437+0000
2000-01-01_00:01:23.617187+0000,21393,843.75,2000-01-01_00:01:23.617187+0000
2000-01-01_00:01:24.453125+0000,21607,835.9375,2000-01-01_00:01:24.453125+0000
2000-01-01_00:01:25.281250+0000,21819,828.125,2000-01-01_00:01:25.281250+0000
2000-01-01_00:01:26.125000+0000,22035,843.75,2000-01-01_00:01:26.125000+0000
2000-01-01_00:01:26.972656+0000,22252,847.65625,2000-01-01_00:01:26.972656+0000
2000-01-01_00:01:27.804687+0000,22465,832.03125,2000-01-01_00:01:27.804687+0000
2000-01-01_00:01:28.644531+0000,22680,839.84375,2000-01-01_00:01:28.644531+0000
2000-01-01_00:01:29.492187+0000,22897,847.65625,2000-01-01_00:01:29.492187+0000
2000-01-01_00:01:30.324218+0000,23110,832.03125,2000-01-01_00:01:30.324218+0000
2000-01-01_00:01:31.156250+0000,23323,832.03125,2000-01-01_00:01:31.156250+0000
2000-01-01_00:01:32.003906+0000,23540,847.65625,2000-01-01_00:01:32.003906+0000
2000-01-01_00:01:32.839843+0000,23754,835.9375,2000-01-01_00:01:32.839843+0000
2000-01-01_00:01:33.679687+0000,23969,839.84375,2000-01-01_00:01:33.679687+0000
2000-01-01_00:01:34.535156+0000,24188,855.46875,2000-01-01_00:01:34.535156+0000
2000-01-01_00:01:35.371093+0000,24402,835.9375,2000-01-01_00:01:35.371093+0000
2000-01-01_00:01:36.199218+0000,24614,828.125,2000-01-01_00:01:36.199218+0000
2000-01-01_00:01:37.046875+0000,24831,847.65625,2000-01-01_00:01:37.046875+0000
2000-01-01_00:01:37.878906+0000,25044,832.03125,2000-01-01_00:01:37.878906+0000
2000-01-01_00:01:38.710937+0000,25257,832.03125,2000-01-01_00:01:38.710937+0000
2000-01-01_00:01:39.558593+0000,25474,847.65625,2000-01-01_00:01:39.558593+0000
2000-01-01_00:01:40.382812+0000,25685,824.21875,2000-01-01_00:01:40.382812+0000
2000-01-01_00:01:41.214843+0000,25898,832.03125,2000-01-01_00:01:41.214843+0000
2000-01-01_00:01:42.078125+0000,26119,863.28125,2000-01-01_00:01:42.078125+0000
2000-01-01_00:01:42.890625+0000,26327,812.5,2000-01-01_00:01:42.890625+0000
2000-01-01_00:01:43.718750+0000,26539,828.125,2000-01-01_00:01:43.718750+0000
2000-01-01_00:01:44.558593+0000,26754,839.84375,2000-01-01_00:01:44.558593+0000
2000-01-01_00:01:45.398437+0000,26969,839.84375,2000-01-01_00:01:45.398437+0000
2000-01-01_00:01:46.214843+0000,27178,816.40625,2000-01-01_00:01:46.214843+0000
2000-01-01_00:01:47.050781+0000,27392,835.9375,2000-01-01_00:01:47.050781+0000
2000-01-01_00:01:47.898437+0000,27609,847.65625,2000-01-01_00:01:47.898437+0000
2000-01-01_00:01:48.722656+0000,27820,824.21875,2000-01-01_00:01:48.722656+0000
2000-01-01_00:01:49.554687+0000,28033,832.03125,2000-01-01_00:01:49.554687+0000
2000-01-01_00:01:50.406250+0000,28251,851.5625,2000-01-01_00:01:50.406250+0000
2000-01-01_00:01:51.230468+0000,28462,824.21875,2000-01-01_00:01:51.230468+0000
2000-01-01_00:01:52.066406+0000,28676,835.9375,2000-01-01_00:01:52.066406+0000
2000-01-01_00:01:52.914062+0000,28893,847.65625,2000-01-01_00:01:52.914062+0000
2000-01-01_00:01:53.742187+0000,29105,828.125,2000-01-01_00:01:53.742187+0000
2000-01-01_00:01:54.562500+0000,29315,820.3125,2000-01-01_00:01:54.562500+0000
2000-01-01_00:01:55.394531+0000,29528,832.03125,2000-01-01_00:01:55.394531+0000
2000-01-01_00:01:56.218750+0000,29739,824.21875,2000-01-01_00:01:56.218750+0000
2000-01-01_00:01:57.042968+0000,29950,824.21875,2000-01-01_00:01:57.042968+0000
2000-01-01_00:01:57.898437+0000,30169,855.46875,2000-01-01_00:01:57.898437+0000
2000-01-01_00:01:58.726562+0000,30381,828.125,2000-01-01_00:01:58.726562+0000
2000-01-01_00:01:59.542968+0000,30590,816.40625,2000-01-01_00:01:59.542968+0000
2000-01-01_00:02:00.363281+0000,30800,820.3125,2000-01-01_00:02:00.363281+0000
2000-01-01_00:02:01.187500+0000,31011,824.21875,2000-01-01_00:02:01.187500+0000
2000-01-01_00:02:02.000000+0000,31219,812.5,2000-01-01_00:02:02.000000+0000
2000-01-01_00:02:02.832031+0000,31432,832.03125,2000-01-01_00:02:02.832031+0000
2000-01-01_00:02:03.652343+0000,31642,820.3125,2000-01-01_00:02:03.652343+0000
2000-01-01_00:02:04.460937+0000,31849,808.59375,2000-01-01_00:02:04.460937+0000
2000-01-01_00:02:05.289062+0000,32061,828.125,2000-01-01_00:02:05.289062+0000
2000-01-01_00:02:06.121093+0000,32274,832.03125,2000-01-01_00:02:06.121093+0000
2000-01-01_00:02:06.941406+0000,32484,820.3125,2000-01-01_00:02:06.941406+0000
2000-01-01_00:02:07.773437+0000,32697,832.03125,2000-01-01_00:02:07.773437+0000
2000-01-01_00:02:08.617187+0000,32913,843.75,2000-01-01_00:02:08.617187+0000
2000-01-01_00:02:09.445312+0000,33125,828.125,2000-01-01_00:02:09.445312+0000
2000-01-01_00:02:10.269531+0000,33336,824.21875,2000-01-01_00:02:10.269531+0000
2000-01-01_00:02:11.101562+0000,33549,832.03125,2000-01-01_00:02:11.101562+0000
2000-01-01_00:02:11.917968+0000,33758,816.40625,2000-01-01_00:02:11.917968+0000
2000-01-01_00:02:12.734375+0000,33967,816.40625,2000-01-01_00:02:12.734375+0000
2000-01-01_00:02:13.570312+0000,34181,835.9375,2000-01-01_00:02:13.570312+0000
